[ 2016-11-01T02:37:35+08:00 ] /xxx/index.php/User/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.030002s ]
[ 2016-11-01T02:37:35+08:00 ] /xxx/index.php/User/index | INFO: Tag[ view_filter ] --START--
[ 2016-11-01T02:37:35+08:00 ] /xxx/index.php/User/index | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-11-01T02:37:35+08:00 ] /xxx/index.php/User/index | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-11-01T02:37:35+08:00 ] /xxx/index.php/User/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-11-01T02:37:35+08:00 ] /xxx/index.php/User/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-11-01T02:37:35+08:00 ] /xxx/index.php/User/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003000s ]
[ 2016-11-01T02:37:35+08:00 ] /xxx/index.php/User/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\wamp\www\xxx\home\Lib\Action\UserAction.class.php:16) View.class.php 第 120 行.
[ 2016-11-01T02:37:35+08:00 ] /xxx/index.php/User/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\wamp\www\xxx\home\Lib\Action\UserAction.class.php:16) View.class.php 第 121 行.
[ 2016-11-01T02:37:35+08:00 ] /xxx/index.php/User/index | NOTIC: [2] Cannot modify header information - headers already sent by (output started at D:\wamp\www\xxx\home\Lib\Action\UserAction.class.php:16) View.class.php 第 122 行.
[ 2016-11-01T02:37:35+08:00 ] /xxx/index.php/User/index | INFO: Tag[ view_end ] --START--
[ 2016-11-01T02:37:35+08:00 ] /xxx/index.php/User/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2016-11-01T02:37:35+08:00 ] /xxx/index.php/User/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | INFO: Tag[ route_check ] --START--
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | INFO: Tag[ app_begin ] --START--
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | SQL: SHOW COLUMNS FROM `think_user` [ RunTime:0.001000s ]
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | SQL: SELECT * FROM `think_user`  [ RunTime:0.000000s ]
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | INFO: Tag[ view_template ] --START--
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001000s ]
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | INFO: Tag[ view_parse ] --START--
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-11-01T02:37:58+08:00 ] /xxx/index.php/User/index | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
